State,SA3 code 2016,SA3_name_2016,EstResidentPop_30_June_2016,Remoteness,SES_quintile,Prescriptions,Crude_rate_per_100000,Agesex_standardised_rate_per_100000,Decile_agesex_standardised_rate
Tas,60106,Sorell - Dodges Ferry,16061,Inner Regional,Quintile 2,18511,115253,98209,1
NT,70204,East Arnhem,14802,Remote,Quintile 1,1321,8923,13907,10
NSW,11302,Tumut - Tumbarumba,14686,Inner Regional,Quintile 1,14823,100934,83629,2
Qld,30804,Biloela,14607,Outer Regional,Quintile 2,9768,66874,65557,5
Qld,31101,Beaudesert,14242,Inner Regional,Quintile 1,10628,74622,67809,5
Qld,31303,Caboolture Hinterland,13668,Inner Regional,Quintile 1,10378,75926,68008,5
NSW,10902,Lower Murray,12737,Outer Regional,Quintile 1,12530,98371,84587,2
Qld,30604,Port Douglas - Daintree,11882,Outer Regional,Quintile 2,9040,76083,64744,5
Vic,20203,Loddon - Elmore,11472,Inner Regional,Quintile 1,13115,114324,93134,1
Tas,60301,Central Highlands (Tas.),11424,Outer Regional,Quintile 1,14414,126172,116303,1
WA,51102,Gascoyne,9757,Remote,Quintile 2,5812,59566,58624,6
Tas,60303,South East Coast,6891,Outer Regional,Quintile 1,9527,138248,99894,1
NT,70202,Barkly,6241,Remote,Quintile 1,1144,18332,46192,8
Other Territories,90101,Christmas Island,1903,Remote,Quintile 2,327,17183,17032,10
Other Territories,90104,Norfolk Island,1756,Remote,Quintile 2,782,44533,31133,10
ACT,80103,Canberra East,1569,Major Cities,Quintile 1,1338,85269,95679,1
