State,SA3 code 2016,SA3_name_2016,EstResidentPop_30_June_2016,Remoteness,SES_quintile,Prescriptions,Crude_rate_per_100000,Agesex_standardised_rate_per_100000,Decile_agesex_standardised_rate
NSW,12104,North Sydney - Mosman,100152,Major Cities,Quintile 5,29081,29037,25346,10
Vic,20902,Darebin - North,99751,Major Cities,Quintile 2,55722,55861,50816,7
WA,50201,Mandurah,99405,Major Cities,Quintile 3,92046,92596,76170,3
ACT,80101,Belconnen,97830,Major Cities,Quintile 5,48508,49584,50561,7
Vic,21201,Cardinia,97790,Major Cities,Quintile 4,68621,70172,75372,3
WA,50603,Canning,97172,Major Cities,Quintile 4,49659,51105,48219,8
NSW,11602,Blacktown - North,95745,Major Cities,Quintile 5,30503,31859,43639,8
NSW,11303,Wagga Wagga,95644,Inner Regional,Quintile 1,82665,86430,77021,3
Vic,20702,Manningham - West,95593,Major Cities,Quintile 4,40262,42118,31481,10
Vic,20201,Bendigo,95587,Inner Regional,Quintile 2,82077,85867,78717,3
SA,40205,Tea Tree Gully,95290,Major Cities,Quintile 4,65414,68648,59737,6
Vic,20607,Yarra,94234,Major Cities,Quintile 5,34377,36481,39830,9
NSW,12501,Auburn,94077,Major Cities,Quintile 1,25319,26913,31369,10
NSW,11203,Tweed Valley,93458,Major Cities,Quintile 2,85478,91461,68771,4
NSW,10703,Kiama - Shellharbour,92470,Major Cities,Quintile 4,78400,84785,74079,4
SA,40302,Marion,92098,Major Cities,Quintile 4,66446,72147,59933,6
Vic,20601,Brunswick - Coburg,91653,Major Cities,Quintile 4,38766,42297,42663,8
SA,40202,Playford,91465,Major Cities,Quintile 1,96446,105446,111262,1
Qld,30503,Brisbane Inner - North,90782,Major Cities,Quintile 5,34118,37582,40385,9
NSW,10601,Lower Hunter,89621,Inner Regional,Quintile 1,77038,85960,80683,2
NSW,12001,Canada Bay,89595,Major Cities,Quintile 5,28521,31833,28414,10
Qld,31901,Bundaberg,89276,Inner Regional,Quintile 1,87556,98074,80957,2
Qld,31401,The Hills District,89224,Major Cities,Quintile 5,45938,51486,57357,6
Vic,21302,Hobsons Bay,88342,Major Cities,Quintile 2,50713,57405,51357,7
NSW,10402,Coffs Harbour,87943,Inner Regional,Quintile 2,80468,91500,74793,3
Vic,21303,Maribyrnong,87355,Major Cities,Quintile 4,38684,44283,48657,8
Qld,31004,Springfield - Redbank,87095,Major Cities,Quintile 1,46369,53240,71080,4
ACT,80107,Tuggeranong,85968,Major Cities,Quintile 5,52301,60838,62721,6
Qld,30102,Cleveland - Stradbroke,85516,Major Cities,Quintile 5,65794,76938,66129,5
WA,50401,Bayswater - Bassendean,83741,Major Cities,Quintile 3,48322,57704,51812,7
NSW,12102,Hornsby,83456,Major Cities,Quintile 5,30801,36907,34798,10
Tas,60201,Launceston,83040,Inner Regional,Quintile 1,61267,73781,63326,5
Qld,31602,Caloundra,82926,Major Cities,Quintile 3,72401,87308,70448,4
Qld,31103,Browns Plains,82568,Major Cities,Quintile 1,58027,70278,79784,2
NSW,11004,Tamworth - Gunnedah,82379,Inner Regional,Quintile 1,54451,66098,56791,7
WA,50601,Armadale,82280,Major Cities,Quintile 1,56674,68880,75248,3
NSW,11201,Richmond Valley - Coastal,80412,Inner Regional,Quintile 2,64687,80445,63504,5
Qld,31106,Springwood - Kingston,80066,Major Cities,Quintile 1,60122,75091,80889,2
NSW,10804,Port Macquarie,79929,Inner Regional,Quintile 2,79173,99054,72376,4
Vic,21003,Moreland - North,79587,Major Cities,Quintile 2,48054,60379,54610,7
NSW,12401,Blue Mountains,78496,Major Cities,Quintile 4,52624,67040,56288,7
NSW,10701,Dapto - Port Kembla,77934,Major Cities,Quintile 1,68285,87619,75293,3
NSW,11102,Lake Macquarie - West,77075,Major Cities,Quintile 2,65689,85227,69685,4
NSW,10602,Maitland,76134,Major Cities,Quintile 1,48023,63077,61584,6
Qld,31001,Forest Lake - Oxley,75209,Major Cities,Quintile 1,45370,60325,64608,5
Qld,30302,Holland Park - Yeronga,74852,Major Cities,Quintile 5,33506,44763,46508,8
Qld,30303,Mt Gravatt,74384,Major Cities,Quintile 4,33927,45611,44398,8
Qld,30101,Capalaba,74184,Major Cities,Quintile 3,51883,69938,66393,5
Vic,20504,Latrobe Valley,74170,Inner Regional,Quintile 1,91420,123257,109433,1
Qld,31402,North Lakes,73908,Major Cities,Quintile 4,40043,54180,62068,6
WA,50602,Belmont - Victoria Park,73886,Major Cities,Quintile 3,40010,54151,54869,7
Vic,20303,Surf Coast - Bellarine Peninsula,73696,Inner Regional,Quintile 4,51209,69487,57864,6
NSW,10603,Port Stephens,73036,Inner Regional,Quintile 2,62572,85672,67754,5
SA,40102,Adelaide Hills,72967,Inner Regional,Quintile 4,47343,64883,59438,6
ACT,80104,Gungahlin,72408,Major Cities,Quintile 5,20408,28185,47122,8
Qld,30501,Brisbane Inner,72244,Major Cities,Quintile 3,26751,37029,41319,9
NSW,10104,South Coast,72073,Outer Regional,Quintile 2,81380,112913,85368,2
Qld,30202,Chermside,71772,Major Cities,Quintile 4,42584,59332,52750,7
SA,40703,Murray and Mallee,71368,Outer Regional,Quintile 1,74357,104188,86075,1
NSW,11202,Richmond Valley - Hinterland,71294,Inner Regional,Quintile 1,55815,78288,65579,5
WA,50301,Cottesloe - Claremont,71252,Major Cities,Quintile 5,26513,37211,30591,10
NSW,10503,Dubbo,71138,Inner Regional,Quintile 1,68961,96940,86394,1
Qld,30103,Wynnum - Manly,71046,Major Cities,Quintile 3,45474,64007,60679,6
Vic,20403,Wodonga - Alpine,70925,Inner Regional,Quintile 1,62818,88570,79257,2
Vic,20603,Essendon,70367,Major Cities,Quintile 5,29320,41668,40113,9
SA,40203,Port Adelaide - East,69599,Major Cities,Quintile 2,47694,68527,65452,5
Qld,31302,Caboolture,69426,Major Cities,Quintile 1,68449,98593,101884,1
Qld,30906,Nerang,69402,Major Cities,Quintile 3,49163,70838,68019,5
NSW,12502,Carlingford,68864,Major Cities,Quintile 4,23463,34072,31532,10
Qld,30903,Gold Coast - North,68379,Major Cities,Quintile 2,61448,89863,69981,4
Vic,20903,Nillumbik - Kinglake,68270,Major Cities,Quintile 5,32999,48337,50830,7
Vic,20606,Stonnington - West,67798,Major Cities,Quintile 5,25206,37178,34371,10
SA,40702,Limestone Coast,66683,Outer Regional,Quintile 1,52971,79436,67280,5
SA,40303,Mitcham,65069,Major Cities,Quintile 5,37802,58095,45593,8
Vic,21603,Shepparton,64888,Inner Regional,Quintile 1,59342,91453,84723,2
Qld,31304,Narangba - Burpengary,64693,Major Cities,Quintile 4,56247,86945,88499,1
Qld,30901,Broadbeach - Burleigh,64491,Major Cities,Quintile 4,47347,73416,61740,6
NSW,12301,Camden,64212,Major Cities,Quintile 4,32253,50230,55252,7
Qld,31002,Ipswich Hinterland,64124,Inner Regional,Quintile 2,66318,103422,93579,1
Vic,21104,Whitehorse - East,63597,Major Cities,Quintile 4,32821,51608,42242,8
NSW,12202,Pittwater,63504,Major Cities,Quintile 5,27517,43331,34409,10
Qld,30805,Gladstone,63288,Inner Regional,Quintile 2,39120,61813,68265,5
SA,40403,West Torrens,62758,Major Cities,Quintile 2,38381,61157,50465,7
NSW,10901,Albury,62504,Inner Regional,Quintile 1,55443,88703,79624,2
Vic,20503,Gippsland - South West,62409,Inner Regional,Quintile 2,64462,103290,80837,2
Qld,30305,Rocklea - Acacia Ridge,62075,Major Cities,Quintile 4,27196,43811,49811,7
Qld,31105,Loganlea - Carbrook,62016,Major Cities,Quintile 1,46379,74785,75319,3
Vic,21001,Keilor,61472,Major Cities,Quintile 3,31912,51912,40864,9
Qld,31305,Redcliffe,61229,Major Cities,Quintile 2,64264,104956,84325,2
Qld,30909,Southport,61128,Major Cities,Quintile 3,53069,86816,77673,3
WA,50901,Albany,60319,Outer Regional,Quintile 3,49700,82395,69119,4
Qld,30204,Sandgate,60085,Major Cities,Quintile 3,39277,65369,59445,6
NSW,12002,Leichhardt,59540,Major Cities,Quintile 5,19661,33022,32950,10
NSW,10102,Queanbeyan,59472,Major Cities,Quintile 5,34646,58256,58599,6
Qld,30504,Brisbane Inner - West,59386,Major Cities,Quintile 5,19251,32416,37277,9
WA,50605,Kalamunda,59349,Major Cities,Quintile 3,35253,59399,55132,7
Vic,21501,Grampians,59330,Outer Regional,Quintile 1,72272,121814,96765,1
SA,40402,Port Adelaide - West,59256,Major Cities,Quintile 1,49099,82859,69788,4
NSW,10304,Orange,58991,Inner Regional,Quintile 1,40837,69226,62819,5
SA,40601,Eyre Peninsula and South West,58473,Remote,Quintile 1,51087,87369,77968,3
Qld,31603,Maroochy,58359,Major Cities,Quintile 2,49117,84164,69534,4
NSW,11702,Marrickville - Sydenham - Petersham,57574,Major Cities,Quintile 3,19855,34486,35434,9
Qld,31904,Hervey Bay,57490,Inner Regional,Quintile 1,67781,117901,92258,1
NT,70102,Darwin Suburbs,57306,Outer Regional,Quintile 3,23417,40862,44319,8
WA,50902,Wheat Belt - North,56584,Inner Regional,Quintile 2,47382,83738,70875,4
NSW,10302,Lachlan Valley,56416,Outer Regional,Quintile 1,53736,95249,78330,3
Qld,31601,Buderim,56284,Major Cities,Quintile 4,36979,65701,56707,7
NSW,12405,St Marys,55427,Major Cities,Quintile 3,34542,62319,67969,5
Vic,20602,Darebin - South,55271,Major Cities,Quintile 4,22908,41447,39634,9
Qld,30902,Coolangatta,55141,Major Cities,Quintile 3,43547,78973,64090,5
WA,51104,Mid West,55127,Outer Regional,Quintile 1,41658,75566,69504,4
NSW,10805,Taree - Gloucester,54761,Inner Regional,Quintile 1,56314,102836,79842,2
Vic,21502,Mildura,54564,Outer Regional,Quintile 1,55991,102616,90822,1
Qld,30601,Cairns - North,54554,Outer Regional,Quintile 3,40604,74429,76287,3
Vic,20401,Upper Goulburn Valley,54270,Inner Regional,Quintile 3,55861,102931,86848,1
ACT,80105,North Canberra,54105,Major Cities,Quintile 5,21425,39598,42989,8
Qld,30403,Sherwood - Indooroopilly,53907,Major Cities,Quintile 5,15798,29306,32218,10
Tas,60103,Hobart - North West,53290,Inner Regional,Quintile 1,61379,115179,101559,1
Tas,60102,Hobart - North East,52867,Inner Regional,Quintile 4,48271,91307,76027,3
Qld,30306,Sunnybank,52380,Major Cities,Quintile 3,19002,36278,37806,9
Qld,30301,Carindale,52345,Major Cities,Quintile 5,23344,44597,41821,9
WA,50101,Augusta - Margaret River - Busselton,52283,Inner Regional,Quintile 4,36093,69034,61119,6
Qld,30404,The Gap - Enoggera,52042,Major Cities,Quintile 5,24724,47508,45675,8
Tas,60105,Hobart Inner,51872,Inner Regional,Quintile 4,31171,60091,50706,7
SA,40701,Fleurieu - Kangaroo Island,51719,Inner Regional,Quintile 2,53233,102926,74511,3
SA,40104,Campbelltown (SA),51633,Major Cities,Quintile 3,28748,55678,42895,8
