State,SA3_code,SA3_name,Population,Remoteness,SES_quintile,Prescriptions,PrescriptionRate,Median_income,Mortality_rate,Mortality_rate_ratio,Median_age_at_death
Vic,21204,Dandenong,197453,Major Cities,Quintile 1,103485,52410,40755,645.3,0.98,82
SA,40503,Mid North,27890,Outer Regional,Quintile 1,31629,113406,40665,1144.6,1.28,81
Qld,31905,Maryborough,45530,Inner Regional,Quintile 1,55525,121953,40392,902.1,1.12,78
Vic,21603,Shepparton,64888,Inner Regional,Quintile 1,59342,91453,40379,904.2,1.24,82
Tas,60402,Devonport,45272,Inner Regional,Quintile 1,42327,93496,40208,948.9,1.17,80
NSW,12501,Auburn,94077,Major Cities,Quintile 1,25319,26913,40000,377.9,0.92,82
SA,40702,Limestone Coast,66683,Outer Regional,Quintile 1,52971,79436,39996,828.9,1.08,81
Qld,31302,Caboolture,69426,Major Cities,Quintile 1,68449,98593,39856,690.1,1.25,79
Tas,60301,Central Highlands (Tas.),11424,Outer Regional,Quintile 1,14414,126172,39855,583.9,0.99,76
WA,50903,Wheat Belt - South,20545,Outer Regional,Quintile 1,17011,82798,39683,739.1,1.06,80
Vic,21701,Glenelg - Southern Grampians,35855,Outer Regional,Quintile 1,34542,96338,39450,1136.1,1.19,82
NSW,11202,Richmond Valley - Hinterland,71294,Inner Regional,Quintile 1,55815,78288,39429,898.1,1.12,81
Tas,60203,North East,37679,Outer Regional,Quintile 1,35556,94364,39408,941.7,1.18,77
Qld,31904,Hervey Bay,57490,Inner Regional,Quintile 1,67781,117901,38917,994.2,1.07,79
NSW,11001,Armidale,38098,Inner Regional,Quintile 1,25097,65875,38812,807.8,1.13,81
Vic,21501,Grampians,59330,Outer Regional,Quintile 1,72272,121814,38592,1063.1,1.05,83
Vic,21602,Moira,29306,Inner Regional,Quintile 1,32743,111727,38444,1203.1,1.22,81
NSW,10302,Lachlan Valley,56416,Outer Regional,Quintile 1,53736,95249,38423,1084.6,1.18,81
Vic,21502,Mildura,54564,Outer Regional,Quintile 1,55991,102616,38134,847.9,1.06,82
NSW,10805,Taree - Gloucester,54761,Inner Regional,Quintile 1,56314,102836,37912,1165.1,1.2,79
Vic,20203,Loddon - Elmore,11472,Inner Regional,Quintile 1,13115,114324,37818,1042.4,1.12,84
Qld,31901,Bundaberg,89276,Inner Regional,Quintile 1,87556,98074,37642,931.1,1.08,81
Vic,20103,Maryborough - Pyrenees,25475,Inner Regional,Quintile 1,31164,122331,37630,1089.8,1.2,80
NSW,10401,Clarence Valley,50961,Inner Regional,Quintile 1,51974,101987,37500,1102.6,1.13,80
Qld,31903,Gympie - Cooloola,50216,Inner Regional,Quintile 1,55631,110784,37500,806.4,1.04,79
NSW,11002,Inverell - Tenterfield,38858,Outer Regional,Quintile 1,35949,92513,37075,970.5,1.11,80
Qld,31501,Far North,33772,Remote,Quintile 1,11249,33309,36603,478.4,1.32,68
SA,40703,Murray and Mallee,71368,Outer Regional,Quintile 1,74357,104188,36395,877.9,1.05,79.5
NSW,10802,Kempsey - Nambucca,49005,Outer Regional,Quintile 1,58879,120150,36332,1129.5,1.17,83
NT,70203,Daly - Tiwi - West Arnhem,18216,Remote,Quintile 1,1828,10036,36125,642.6,1.83,54
Vic,21503,Murray River - Swan Hill,37697,Outer Regional,Quintile 1,37987,100770,35852,1020.4,1.08,82
SA,40504,Yorke Peninsula,25729,Outer Regional,Quintile 1,34905,135665,35825,1230.4,1.11,82
Qld,31902,Burnett,49852,Inner Regional,Quintile 1,51272,102849,35737,870.6,1.14,78
Qld,30703,Granite Belt,40664,Inner Regional,Quintile 1,35544,87410,35724,1014.5,1.22,80
NSW,10801,Great Lakes,31895,Inner Regional,Quintile 1,37279,116881,35331,1457.6,1.1,84
Qld,30605,Tablelands (East) - Kuranda,41330,Outer Regional,Quintile 1,32737,79209,35318,784.1,1.02,77.5
Qld,30603,Innisfail - Cassowary Coast,35601,Outer Regional,Quintile 1,31811,89354,35000,836,1.19,78
Tas,60303,South East Coast,6891,Outer Regional,Quintile 1,9527,138248,33430,932.7,1.04,80
