State,SA3_code,SA3_name,Population,Remoteness,SES_quintile,Prescriptions,PrescriptionRate,Median_income,Mortality_rate,Mortality_rate_ratio,Median_age_at_death
Qld,30910,Surfers Paradise,42883,Major Cities,Quintile 4,28952,67513,34301,548.4,0.79,81
ACT,80106,South Canberra,27663,Major Cities,Quintile 5,12702,45915,73034,924.5,1.13,84
NSW,12002,Leichhardt,59540,Major Cities,Quintile 5,19661,33022,69874,467.7,0.94,80
NSW,12104,North Sydney - Mosman,100152,Major Cities,Quintile 5,29081,29037,69143,478,0.69,85
ACT,80108,Weston Creek,23172,Major Cities,Quintile 5,14693,63408,66654,678.5,0.8,83
ACT,80109,Woden Valley,35377,Major Cities,Quintile 5,17595,49735,65224,810.6,0.91,84
ACT,80104,Gungahlin,72408,Major Cities,Quintile 5,20408,28185,63714,156,0.75,69
ACT,80105,North Canberra,54105,Major Cities,Quintile 5,21425,39598,61641,527.7,0.91,85
ACT,80107,Tuggeranong,85968,Major Cities,Quintile 5,52301,60838,61144,354.7,0.79,74
NSW,12101,Chatswood - Lane Cove,117824,Major Cities,Quintile 5,33288,28252,60438,524.7,0.77,86
NSW,12201,Manly,44994,Major Cities,Quintile 5,12910,28692,60000,462.3,0.7,85
NSW,10102,Queanbeyan,59472,Major Cities,Quintile 5,34646,58256,59536,512.5,1.06,79
ACT,80101,Belconnen,97830,Major Cities,Quintile 5,48508,49584,59093,464.5,0.88,79
NSW,12001,Canada Bay,89595,Major Cities,Quintile 5,28521,31833,58196,515.6,0.73,84
Qld,30502,Brisbane Inner - East,42844,Major Cities,Quintile 5,17045,39784,57856,342.6,0.83,79
NSW,11801,Eastern Suburbs - North,136152,Major Cities,Quintile 5,46544,34185,57762,563,0.79,85
NSW,12103,Ku-ring-gai,123474,Major Cities,Quintile 5,38689,31334,57641,618.4,0.64,87
NSW,11602,Blacktown - North,95745,Major Cities,Quintile 5,30503,31859,56592,278,0.9,72
Qld,30404,The Gap - Enoggera,52042,Major Cities,Quintile 5,24724,47508,56555,642.9,0.95,85
NSW,11501,Baulkham Hills,148761,Major Cities,Quintile 5,51201,34418,56346,534.8,0.85,85
WA,50607,South Perth,44154,Major Cities,Quintile 5,19563,44306,56311,726.1,1.01,84
Vic,20605,Port Phillip,108569,Major Cities,Quintile 5,44035,40559,56236,485.7,0.96,80
WA,50302,Perth City,107607,Major Cities,Quintile 5,47437,44083,55551,641.4,1.1,84
NSW,12601,Pennant Hills - Epping,49288,Major Cities,Quintile 5,13165,26711,55399,511.5,0.68,85
Qld,30402,Kenmore - Brookfield - Moggill,47388,Major Cities,Quintile 5,19040,40180,55371,588.8,0.86,85
Qld,30503,Brisbane Inner - North,90782,Major Cities,Quintile 5,34118,37582,55102,404.4,0.84,78
NSW,12802,Sutherland - Menai - Heathcote,111321,Major Cities,Quintile 5,52256,46941,55075,608.2,0.92,83
Vic,20606,Stonnington - West,67798,Major Cities,Quintile 5,25206,37178,55000,503.8,0.72,84
NSW,11802,Eastern Suburbs - South,149266,Major Cities,Quintile 5,55028,36866,54987,608.3,0.92,84
Qld,30401,Centenary,33800,Major Cities,Quintile 5,15338,45380,54741,646.5,1.07,87
NSW,12102,Hornsby,83456,Major Cities,Quintile 5,30801,36907,54737,495.9,0.79,85
Vic,20607,Yarra,94234,Major Cities,Quintile 5,34377,36481,54625,419.8,0.92,79
NSW,11504,Rouse Hill - McGraths Hill,34081,Major Cities,Quintile 5,12453,36540,54602,269,0.74,74
Qld,31401,The Hills District,89224,Major Cities,Quintile 5,45938,51486,54488,305.2,0.8,78
Qld,30301,Carindale,52345,Major Cities,Quintile 5,23344,44597,54476,587.2,0.89,83
Qld,30504,Brisbane Inner - West,59386,Major Cities,Quintile 5,19251,32416,54255,365.5,0.87,81
WA,50501,Joondalup,161288,Major Cities,Quintile 5,84549,52421,53929,460.6,0.79,81
Vic,20801,Bayside,102737,Major Cities,Quintile 5,46417,45180,53926,816,0.8,87
Qld,30201,Bald Hills - Everton Park,42300,Major Cities,Quintile 5,23553,55682,53763,580.1,0.8,81
WA,50704,Melville,105106,Major Cities,Quintile 5,53245,50658,53754,614.9,0.72,83.5
WA,50301,Cottesloe - Claremont,71252,Major Cities,Quintile 5,26513,37211,53508,690.4,0.86,85
WA,50502,Stirling,201306,Major Cities,Quintile 5,108846,54070,53384,603.7,0.87,83
NSW,12801,Cronulla - Miranda - Caringbah,114106,Major Cities,Quintile 5,56760,49744,53060,763.4,0.84,84
NSW,12203,Warringah,157846,Major Cities,Quintile 5,59881,37936,52999,681.1,0.83,86
Vic,20804,Stonnington - East,43808,Major Cities,Quintile 5,16480,37618,52755,623.6,0.81,85
Vic,20603,Essendon,70367,Major Cities,Quintile 5,29320,41668,52676,601.3,0.92,84.5
NSW,12602,Ryde - Hunters Hill,140873,Major Cities,Quintile 5,47124,33451,52575,647,0.83,85
Vic,20701,Boroondara,177361,Major Cities,Quintile 5,64896,36590,52344,649.2,0.79,86
Qld,30302,Holland Park - Yeronga,74852,Major Cities,Quintile 5,33506,44763,51905,589.5,1.1,82
Vic,20901,Banyule,127693,Major Cities,Quintile 5,72971,57146,51047,698.5,0.88,84
SA,40103,Burnside,45464,Major Cities,Quintile 5,24303,53456,50704,834.7,0.8,85
SA,40303,Mitcham,65069,Major Cities,Quintile 5,37802,58095,50592,812.2,0.89,85
Vic,20903,Nillumbik - Kinglake,68270,Major Cities,Quintile 5,32999,48337,49381,366,0.81,81
NSW,12202,Pittwater,63504,Major Cities,Quintile 5,27517,43331,48793,781,0.91,86
Qld,30304,Nathan,40630,Major Cities,Quintile 5,21047,51801,48106,502.3,0.83,82
NSW,11703,Sydney Inner City,230326,Major Cities,Quintile 5,68819,29879,48000,316.8,0.85,72
Qld,30403,Sherwood - Indooroopilly,53907,Major Cities,Quintile 5,15798,29306,48000,391.9,0.72,85
Vic,21103,Maroondah,114524,Major Cities,Quintile 5,71983,62854,47953,759.6,1.03,84
Qld,30102,Cleveland - Stradbroke,85516,Major Cities,Quintile 5,65794,76938,47841,719.4,0.89,82
NSW,11502,Dural - Wisemans Ferry,27076,Major Cities,Quintile 5,13748,50774,47456,660.6,0.87,84.5
Vic,21102,Manningham - East,27426,Major Cities,Quintile 5,12763,46536,46507,665.8,0.86,85
Vic,21402,Mornington Peninsula,160862,Major Cities,Quintile 5,135314,84118,42100,930.9,0.93,83
Vic,20604,Melbourne City,148041,Major Cities,Quintile 5,32495,21950,40199,270.6,0.85,80
